lab,method,subid,age_days,trial_type,trial_num,looking_time
ubc,single-screen,YL19,156.5,IDS,3.0,12.44
ubc,single-screen,OC20,166.5,IDS,3.0,3.05
ubc,single-screen,EA24,163.5,IDS,3.0,4.84
ubc,single-screen,EF27,194.8,IDS,3.0,13.74
ubc,single-screen,NB33,186.8,IDS,3.0,12.06
ubc,single-screen,I?35,140.2,IDS,3.0,4.35
ubc,single-screen,IV34,103.9,IDS,3.0,20.0
ubc,single-screen,OC29,155.5,IDS,3.0,16.83
ubc,single-screen,AC18,111.9,IDS,4.0,10.44
ubc,single-screen,ES14,159.5,IDS,4.0,19.78
ubc,single-screen,GM26,198.8,IDS,4.0,5.52
ubc,single-screen,C38,169.5,IDS,4.0,10.02
ubc,single-screen,SF11,181.5,IDS,4.0,3.88
ubc,single-screen,M25,178.5,IDS,4.0,13.6
ubc,single-screen,FA23,174.5,IDS,4.0,5.74
ubc,single-screen,AJ17,153.5,IDS,4.0,NA
ubc,single-screen,EM16,133.2,IDS,4.0,11.32
ubc,single-screen,OJ21,158.5,IDS,4.0,13.44
ubc,single-screen,AZ13,186.8,IDS,4.0,6.23
ubc,single-screen,YL19,156.5,IDS,4.0,16.27
ubc,single-screen,OC20,166.5,IDS,4.0,0.94
ubc,single-screen,EA24,163.5,IDS,4.0,2.58
ubc,single-screen,EF27,194.8,IDS,4.0,4.38
ubc,single-screen,NB33,186.8,IDS,4.0,3.86
ubc,single-screen,I?35,140.2,IDS,4.0,6.12
ubc,single-screen,IV34,103.9,IDS,4.0,NA
ubc,single-screen,OC29,155.5,IDS,4.0,NA
ubc,single-screen,AC18,111.9,IDS,5.0,16.96
ubc,single-screen,ES14,159.5,IDS,5.0,7.68
ubc,single-screen,GM26,198.8,IDS,5.0,14.25
ubc,single-screen,C38,169.5,IDS,5.0,4.88
ubc,single-screen,SF11,181.5,IDS,5.0,17.7
ubc,single-screen,M25,178.5,IDS,5.0,10.88
ubc,single-screen,FA23,174.5,IDS,5.0,5.96
ubc,single-screen,AJ17,153.5,IDS,5.0,NA
ubc,single-screen,EM16,133.2,IDS,5.0,17.14
ubc,single-screen,OJ21,158.5,IDS,5.0,17.33
ubc,single-screen,AZ13,186.8,IDS,5.0,5.14
ubc,single-screen,YL19,156.5,IDS,5.0,20.0
ubc,single-screen,OC20,166.5,IDS,5.0,16.47
ubc,single-screen,EA24,163.5,IDS,5.0,15.66
ubc,single-screen,EF27,194.8,IDS,5.0,9.44
ubc,single-screen,NB33,186.8,IDS,5.0,2.98
ubc,single-screen,I?35,140.2,IDS,5.0,9.36
ubc,single-screen,IV34,103.9,IDS,5.0,19.3
ubc,single-screen,OC29,155.5,IDS,5.0,3.55
ubc,single-screen,AC18,111.9,IDS,6.0,7.33
ubc,single-screen,ES14,159.5,IDS,6.0,18.99
ubc,single-screen,GM26,198.8,IDS,6.0,12.37
ubc,single-screen,C38,169.5,IDS,6.0,6.75
ubc,single-screen,SF11,181.5,IDS,6.0,3.85
ubc,single-screen,M25,178.5,IDS,6.0,18.67
ubc,single-screen,FA23,174.5,IDS,6.0,7.54
ubc,single-screen,AJ17,153.5,IDS,6.0,NA
ubc,single-screen,EM16,133.2,IDS,6.0,4.34
ubc,single-screen,OJ21,158.5,IDS,6.0,6.12
ubc,single-screen,AZ13,186.8,IDS,6.0,5.5
ubc,single-screen,YL19,156.5,IDS,6.0,19.35
ubc,single-screen,OC20,166.5,IDS,6.0,5.08
ubc,single-screen,EA24,163.5,IDS,6.0,5.11
ubc,single-screen,EF27,194.8,IDS,6.0,2.98
ubc,single-screen,NB33,186.8,IDS,6.0,4.46
ubc,single-screen,I?35,140.2,IDS,6.0,5.72
ubc,single-screen,IV34,103.9,IDS,6.0,NA
ubc,single-screen,OC29,155.5,IDS,6.0,NA
ubc,single-screen,AC18,111.9,IDS,7.0,11.23
ubc,single-screen,ES14,159.5,IDS,7.0,15.71
ubc,single-screen,GM26,198.8,IDS,7.0,6.57
ubc,single-screen,C38,169.5,IDS,7.0,2.03
ubc,single-screen,SF11,181.5,IDS,7.0,2.06
ubc,single-screen,M25,178.5,IDS,7.0,19.33
ubc,single-screen,FA23,174.5,IDS,7.0,18.08
ubc,single-screen,AJ17,153.5,IDS,7.0,NA
ubc,single-screen,EM16,133.2,IDS,7.0,11.87
ubc,single-screen,OJ21,158.5,IDS,7.0,6.18
ubc,single-screen,AZ13,186.8,IDS,7.0,5.04
ubc,single-screen,YL19,156.5,IDS,7.0,20.0
ubc,single-screen,OC20,166.5,IDS,7.0,18.82
ubc,single-screen,EA24,163.5,IDS,7.0,17.16
ubc,single-screen,EF27,194.8,IDS,7.0,16.65
ubc,single-screen,NB33,186.8,IDS,7.0,4.82
ubc,single-screen,I?35,140.2,IDS,7.0,10.72
ubc,single-screen,IV34,103.9,IDS,7.0,20.0
ubc,single-screen,OC29,155.5,IDS,7.0,6.32
ubc,single-screen,AC18,111.9,IDS,8.0,15.83
ubc,single-screen,ES14,159.5,IDS,8.0,16.35
ubc,single-screen,GM26,198.8,IDS,8.0,1.66
ubc,single-screen,C38,169.5,IDS,8.0,2.2
ubc,single-screen,SF11,181.5,IDS,8.0,9.98
ubc,single-screen,M25,178.5,IDS,8.0,13.72
ubc,single-screen,FA23,174.5,IDS,8.0,7.73
ubc,single-screen,AJ17,153.5,IDS,8.0,NA
ubc,single-screen,EM16,133.2,IDS,8.0,19.15
ubc,single-screen,OJ21,158.5,IDS,8.0,2.36
ubc,single-screen,AZ13,186.8,IDS,8.0,8.77
ubc,single-screen,YL19,156.5,IDS,8.0,19.7
ubc,single-screen,OC20,166.5,IDS,8.0,0.91
ubc,single-screen,EA24,163.5,IDS,8.0,2.29
ubc,single-screen,EF27,194.8,IDS,8.0,4.61
ubc,single-screen,NB33,186.8,IDS,8.0,7.01
ubc,single-screen,I?35,140.2,IDS,8.0,16.02
ubc,single-screen,IV34,103.9,IDS,8.0,NA
ubc,single-screen,OC29,155.5,IDS,8.0,NA
ubc,single-screen,AC18,111.9,ADS,1.0,5.65
ubc,single-screen,ES14,159.5,ADS,1.0,4.76
ubc,single-screen,GM26,198.8,ADS,1.0,16.23
ubc,single-screen,C38,169.5,ADS,1.0,14.52
ubc,single-screen,SF11,181.5,ADS,1.0,16.0
ubc,single-screen,M25,178.5,ADS,1.0,19.31
ubc,single-screen,FA23,174.5,ADS,1.0,4.45
